OFFENSE;;;
RUSHING #;YARDS;AVG GAIN;
30;297.0;297.0;
PASSING #;YARDS;AVG GAIN;
14;112.0;112.0;
TOTAL OFFENSE #;YARDS;AVG GAIN;
44;409.0;409.0;
;;;
DEFENCE;;;
TACKLES;TFL-Yds;SACKS-YDS;
18.0;2.0-9.0;1.0-7.0;
INT-Yds;BU;PD;
0.0-0.0;1.0;1.0;
;;;
TOTAL FIRST DOWNS;;;
11;;;
RUSHING;PASSING;PENALTY;
7;4;0;
PENALTIES AGAINST;YARDS;FUMBLE-LOST;
2;10;1-1;
;;;
TOTAL TDs;TOT. POINTS SCORED;TOT. POINTS ALLOWED;
4;24;48;
