TEAM;W;L;PF;PA;Pct.;
DOLPHINS Ancona;6;0;228;68;1000;
GREEN HOGS Reggio Emilia;3;3;165;186;500;
RED JACKETS Sarzana;2;4;128;197;333;
WARRIORS Bologna;1;5;99;169;166;
