GIORNATA;CASA;TRASFERTA;RISULTATO;
14/10/2006 h.18:00;WARRIORS;RED HOGS;6-64;
2006-10-22;GIANTS;RED HOGS;16-28;
12/11/2006 h.14:00;RED HOGS;LIONS;22-16;
QUARTI DI FINALE;;;;
19/11/2006 h.14:00;RED HOGS;OLIMPIA;48-38;
SEMIFINALI;;;;
2006-12-02;RED HOGS;LIONS;20-27;
