GIORNATA;CASA;TRASFERTA;RISULTATO;
24/03/2013 h.15:00;HOGS;DOLPHINS;12-7;
06/04/2013 h.21:00;MARINES;HOGS;21-3;
20/04/2013 h.15:00;HOGS;WARRIORS;16-17;
04/05/2013 h.20:30;HOGS;RHINOS;21-14;
11/05/2013 h.20:05;DOLPHINS;HOGS;19-0;
18/05/2013 h.20:30;HOGS;MARINES;27-0;
26/05/2013 h.15:00;PANTHERS;HOGS;53-0;
01/06/2013 h.21:00;WARRIORS;HOGS;34-6;
WILDCARDS;;;;
15/06/2013 h.19:45;SEAMEN;HOGS;14-9;
