GIORNATA;CASA;TRASFERTA;RISULTATO;
08/03/2009 h.--:--;HOGS;PANTHERS;20-27;
22/03/2009 h.--:--;RHINOS;HOGS;28-7;
28/03/2009 h.--:--;HOGS;DOVES;19-27;
11/04/2009 h.--:--;MARINES;HOGS;27-31;
19/04/2009 h.--:--;ELEPHANTS;HOGS;14-49;
25/04/2009 h.--:--;HOGS;LIONS;24-35;
02/05/2009 h.--:--;HOGS;WARRIORS;-;
16/05/2009 h.--:--;HOGS;DOLPHINS;;
23/05/2009 h.--:--;GIANTS;HOGS;-;
