GIORNATA;CASA;TRASFERTA;RISULTATO;
05/10/2019  h.14:15;RED HOGS;WHITE TIGER;46-36;
13/10/2019  h.14:00;RED HOGS;DOLPHINS;14-38;
27/10/2019  h.14:00;AQUILE;RED HOGS;42-0;
10/11/2019  h.14:25;GUELFI;RED HOGS;52-0;
17/11/2019  h.14:00;RED HOGS;WHITE TIGER;36-58;
23/11/2019  h.20:30;DOLPHINS;RED HOGS;52-6;
