GIORNATA;CASA;TRASFERTA;RISULTATO;
9/10/2005 h.14:20;RED HOGS;BOBCATS;8-0;
22/10/2005 h.20:00;RED HOGS;BLACKS;26-34;
2005-11-13;PANTHERS;RED HOGS;6-14;
