GIORNATA;CASA;TRASFERTA;RISULTATO;
3/10/2015 h. 21:00;WARRIORS;GREEN HOGS;29-6;
10/10/2015 h. 20:00;GREEN HOGS;DOLPHINS;6-58;
17/10/2015 h. 20:00;GREEN HOGS;ANGELS;34-12;
29/10/2015 h. 21:20;DOVES;GREEN HOGS;53-52;
07/11/2015 h. 17:00;DOVES;GREEN HOGS;14-46;
21/11/2015 h. 20:00;GREEN HOGS;ANGELS;8-0;
