TEAM;W;L;PF;PA;Pct.;
HOGS Reggio Emilia;8;0;312;67;1000;
VIPERS Modena;5;3;178;201;625;
RED JACKETS Sarzana;2;6;101;176;250;
STORMS Pisa;1;7;62;258;125;
