TEAM;W;L;PF;PA;Pct.;
BLACKS Rivoli;3;0;90;28;1000;
RED HOGS Reggio Emilia;2;1;48;40;666;
PANTHERS Parma;1;2;16;62;333;
BOBCATS Parma;0;3;0;24;0;
