GIORNATA;CASA;TRASFERTA;RISULTATO;
09/03/2014 h.14:30;ANGELS;HOGS;47-0;
23/03/2014 h.14:00;NEPTUNES;HOGS;0-36;
30/03/2014 h.15:30;TITANS;HOGS;2-34;
05/04/2014 h.20:00;HOGS;TITANS;24-13;
12/04/2014 h.20:30;HOGS;ANGELS;34-12;
03/05/2014 h.16:00;HOGS;NEPTUNES;26-0;
17/05/2014 h.20:50;HOGS;GUELFI;27-21;
25/05/2014 h.14:30;MASTINI;HOGS;0-20;
QUARTI FINALE;;;;
22/06/2014 h.14:15;HOGS;CARDINALS;48-24;
SEMIFINALI;;;;
28/06/2014 h.20:30;HOGS;GRIZZLIES;13-16;
