TEAM;W;L;PF;PA;Pct.;
AQUILE Ferrara;8;0;330;66;1000;
TRAPPERS Cecina;6;2;266;137;750;
ROOSTERS Romagna;4;4;158;209;500;
GRIZZLIES Roma;1;7;43;196;125;
HOGS Reggio Emilia;1;7;39;228;125;
