GIORNATA;CASA;TRASFERTA;RISULTATO;
24/02/2018 h.20:30;BENGALS;HOGS;19-30;
11/03/2018 h.14:30;VIPERS;HOGS;25-7;
24/03/2018 h.20:30;HOGS;RED JACKETS;35-20;
14/04/2018 h.21:00;HOGS;MASTIFS;38-7;
21/04/2018 h.21:00;FROGS;HOGS;0-49;
28/04/2018 h.20:30;HOGS;BENGALS;35-19;
19/05/2018 h.20:30;HOGS;VIPERS;30-7;
27/05/2018 h.16:00;RED JACKETS;HOGS;8-35;
QUARTI FINALE;;;;
16/06/2018 h.20:30;HOGS;PRETORIANI;14-16;
