TEAM;W;L;PF;PA;Pct.;
RED HOGS Reggio Emilia;3;0;114;38;1000;
LIONS Bergamo;2;1;88;42;666;
GIANTS Bolzano;1;2;67;70;333;
WARRIORS Bologna;0;3;26;145;0;
