TEAM;W;L;PF;PA;Pct.;
AQUILE Ferrara;2;0;74;36;1000;
GUELFI Firenze;1;0;44;36;1000;
WARRIORS Bologna;0;1;12;26;0;
RED HOGS Reggio Emilia;0;2;12;26;0;
