TEAM;W;L;PF;PA;Pct.;
HOGS Reggio Emilia;7;1;259;105;875;
VIPERS Modena;6;2;232;126;750;
BENGALS Brescia;5;3;176;154;625;
RED JACKETS Sarzana;2;6;158;227;250;
