GIORNATA;CASA;TRASFERTA;RISULTATO;
03/03/2019 h.14:30;RED JACKETS;HOGS;6-29;
16/03/2019 h.20:00;HOGS;PRETORIANI;24-22;
30/03/2019 h.20:00;HOGS;BRAVES;37-33;
07/04/2019 h.14:30;VIPERS;HOGS;7-17;
24/04/2019 h.21:00;BRAVES;HOGS;29-35;
04/05/2019 h.20:00;HOGS;RED JACKETS;20-12;
12/05/2019 h.15:30;PRETORIANI;HOGS;27-14;
26/05/2019 h.15:00;HOGS;VIPERS;17-0;
QUARTI FINALE;;;;
15/06/2019 h.20:30;HOGS;MASTINI;34-0;
SEMIFINALI;;;;
23/06/2019 h.18:00;RHINOS;HOGS;27-9;
