GIORNATA;CASA;TRASFERTA;RISULTATO;
18/04/2021 h.14:30;HOGS;VIPERS;14-21;
08/05/2021 h.20:30;BENGALS;HOGS;16-33;
22/05/2021 h.17:00;HOGS;AQUILE;38-26;
29/05/2021 h.19:00;VIPERS;HOGS;8-3;
05/06/2021 h.17:00;HOGS;BENGALS;7-13;
12/06/2021 h.17:05;AQUILE;HOGS;0-32;
