GIORNATA;CASA;TRASFERTA;RISULTATO;
4/10/2014 h. 21:00;WARRIORS;GREEN HOGS;38-14;
12/10/2014 h. 14:00;GREEN HOGS;BENGALS;42-0;
19/10/2014 h. 14:00;GREEN HOGS;AQUILE;62-8;
1/11/2014 h. 16:30;DOVES;GREEN HOGS;6-26;
22/11/2014 h. 21:00;WARRIORS;GREEN HOGS;40-12;
30/11/2014 h. 14:00;GREEN HOGS;DOVES;46-12;
WILD CARD;;;;
14/12/2014 h. 14:00;PANTHERS;GREEN HOGS;25-0;
