GIORNATA;CASA;TRASFERTA;RISULTATO;
18/10/2020  h.14:00;RED HOGS;GUELFI;36-44;
25/10/2020  h.14:00;AQUILE;RED HOGS;48-24;
07/11/2020  h.19:00;WARRIORS;RED HOGS;ANNULLATA;
15/11/2020  h.14:30;GUELFI;RED HOGS;ANNULLATA;
22/11/2020  h.15:00;RED HOGS;AQUILE;ANNULLATA;
29/11/2020  h.15:00;RED HOGS;WARRIORS;ANNULLATA;
