TEAM;W;L;PF;PA;Pct.;
HOGS Reggio Emilia;5;1;184;45;833;
BARBARI Roma Nord;5;1;129;76;833;
GUELFI Firenze;2;4;92;124;333;
FALCONS Brugherio;0;6;29;189;0;
