GIORNATA;CASA;TRASFERTA;RISULTATO;
2009-10-03;DAEMONS;GREEN HOGS;13-40;
2009-10-10;GREEN HOGS;RHINOS;55-0;
2009-10-25;PANTHERS;GREEN HOGS;8-0;
2009-11-07;RHINOS;GREEN HOGS;6-36;
2009-11-14;GREEN HOGS;PANTHERS;6-12;
2009-11-09;GREEN HOGS;DAEMONS;32-0;
