GIORNATA;CASA;TRASFERTA;RISULTATO;
04/03/2017 h.19:00;HOGS;RED JACKETS;40-6;
12/03/2017 h.15:00;STORMS;HOGS;7-42;
18/03/2017 h.18:00;VIPERS;HOGS;0-41;
25/03/2017 h.19:00;HOGS;MAD BULLS;31-6;
09/04/2017 h.15:00;RAVENS;HOGS;19-35;
07/05/2017 h.15:00;RED JACKETS;HOGS;12-29;
20/05/2017 h.20:00;HOGS;STORMS;46-0;
27/05/2017 h.20:00;HOGS;VIPERS;48-17;
QUARTI FINALE;;;;
17/06/2017 h.21:00;HOGS;BLUE STORMS;21-14;
SEMIFINALI;;;;
24/06/2017 h.21:00;WARRIORS;HOGS;6-14;
SILVERBOWL;;;;
24/06/2017 h.21:00;BLACKBILLS;HOGS;35-29;
