TEAM;W;L;PF;PA;Pct.;
GREEN HOGS Reggio Emilia;4;0;134;16;1000;
BLACKS Rivoli;3;1;82;56;750;
BOBCATS Parma;1;3;58;75;250;
CENTURIONS Alessandria;0;4;12;141;0;
