TEAM;W;L;PF;PA;Pct.;
GIAGUARI Torino;6;0;205;29;1000;
AQUILE Ferrara;3;3;46;65;500;
REAPERS Torino;2;4;48;126;333;
HOGS Reggio Emilia;1;5;25;107;166;
