TEAM;W;L;PF;PA;Pct.;
BLACKS Rivoli;3;0;57;12;1000;
WOLFZ Trento;2;1;38;47;666;
RED HOGS Reggio Emilia;1;2;42;54;333;
BOBCATS Parma;0;3;28;52;0;
