GIORNATA;CASA;TRASFERTA;RISULTATO;
---;RED HOGS;BAD BEES;8-40;
---;BLUE STORMS;RED HOGS;14-20;
---;RED HOGS;GLADIATORI;38-42;
---;CRUSADERS;RED HOGS;30-38;
