GIORNATA;CASA;TRASFERTA;RISULTATO;
5/10/2013 h. 20:30;GREEN HOGS;REDSKINS;21-6;
13/10/2013 h. 14:30;AQUILE;GREEN HOGS;0-8;
20/10/2013 h. 14:31;GIANTS;GREEN HOGS;7-0;
27/10/2013 h. 14:55;REDSKINS;GREEN HOGS;12-14;
9/11/2013 h. 20:30;GREEN HOGS;AQUILE;48-2;
16/11/2013 h. 20:30;GREEN HOGS;GIANTS;14-35;
WILD CARD;;;;
30/11/2013 h. 20:00;GIAGUARI;GREEN HOGS;28-0;
