TEAM;W;L;PF;PA;Pct.;
HOGS Reggio Emilia;8;0;386;48;1000;
RED JACKETS Sarzana;5;3;188;166;625;
FROGS Legnano;2;6;111;252;250;
BOBCATS Parma;1;7;48;242;125;
