TEAM;W;L;PF;PA;Pct.;
PRETORIANI Roma;7;1;256;85;875;
HOGS Reggio Emilia;7;1;193;136;875;
RED JACKETS Sarzana;3;5;102;199;375;
BRAVES Bologna;2;6;129;167;250;
VIPERS Modena;1;7;90;183;125;
