TEAM;W;L;PF;PA;Pct.;
GREEN HOGS Reggio Emilia;4;0;148;6;1000;
BLACKS Rivoli;3;1;89;54;750;
WOLFZ Trento;2;2;84;71;500;
BOBCATS Parma;1;3;42;143;250;
PANTHERS Parma;0;4;12;101;0;
