GIORNATA;CASA;TRASFERTA;RISULTATO;
03/03/2012 h.18:00;RHINOS;HOGS;14-20;
10/03/2012 h.14:00;DOVES;HOGS;20-56;
17/03/2012 h.21:00;WARRIORS;HOGS;34-28;
14/04/2012 h.20:00;HOGS;SEAMEN;47-50;
22/04/2012 h.14:30;DOLPHINS;HOGS;38-35;
28/04/2012 h.13:30;HOGS;ELEPHANTS;28-35;
05/05/2012 h.20:30;HOGS;MARINES;23-21;
12/05/2012 h.20:00;HOGS;DAEMONS;33-20;
19/05/2012 h.20:30;HOGS;GIANTS;9-26;
03/06/2012 h.15:00;PANTHERS;HOGS;75-28;
