GIORNATA;CASA;TRASFERTA;RISULTATO;
11/03/2006 h.21:00;DRAGHI;HOGS;14-38;
19/03/2006 h.15:00;BENGALS;HOGS;6-46;
01/04/2006 h.18:00;HOGS;PIRATES;52-0;
09/04/2006 h.15:00;AQUILE;HOGS;6-38;
22/04/2006 h.20:30;HOGS;BENGALS;38-7;
30/04/2006 h.15:00;HOGS;DRAGHI;36-0;
06/05/2006 h.18:00;HOGS;AQUILE;40-0;
QUARTI FINALE;;;;
27/05/2006 h.20:30;HOGS;BARBARI;34-14;
SEMIFINALI;;;;
10/06/2006 h.20:30;HOGS;RHINOS;42-0;
SILVERBOWL;;;;
18/06/2006 h.19:30;HOGS;SKORPIONS;40-12;
WILDCARD SERIE A;;;;
01/07/2006 h.20:00;GIANTS;HOGS;37-6;
