TEAM;W;L;PF;PA;Pct.;
PANTHERS Parma;5;2;120;43;714;
RED HOGS Reggio Emilia;4;3;138;110;571;
DOVES Bologna;2;4;79;108;333;
WARRIORS Bologna;1;5;56;172;166;
