TEAM;W;L;PF;PA;Pct.;
DOLPHINS Ancona;5;1;249;72;833;
WARRIORS Bologna;5;1;113;40;833;
GREEN HOGS Reggio Emilia;3;3;152;166;500;
DOVES Bologna;2;4;127;234;333;
ANGELS Pesaro;0;6;18;147;0;
