TEAM;W;L;PF;PA;Pct.;
HOGS Reggio Emilia;8;0;358;54;1000;
BENGALS Brescia;6;2;173;139;750;
HURRICANS Vicenza;4;4;115;156;500;
MASTINI Verona;1;7;55;179;125;
REDSKINS Verona;1;7;68;241;125;
