GIORNATA;CASA;TRASFERTA;RISULTATO;
06/03/2016<br/> h.15:00;RED JACKETS;HOGS;25-43;
12/03/2016<br/> h.18:00;HOGS;BLACKS;49-14;
20/03/2016<br/> h.14:30;DAEMONS;HOGS;20-22;
09/04/2016<br/> h.20:00;BENGALS;HOGS;28-35;
16/04/2016<br/> h.18:00;HOGS;DAEMONS;47-17;
07/05/2016<br/> h.20:20;HOGS;RED JACKETS;47-12;
14/05/2016<br/> h.21:00;BLACKS;HOGS;35-68;
28/05/2016<br/> h.20:00;HOGS;BENGALS;61-22;
QUARTI FINALE;;;;
18/06/2016<br/> h.21:00;HOGS;DAEMONS;49-0;
SEMIFINALI;;;;
25/06/2016<br/> h.21:15;HOGS;U.T.A.;17-30;
