TEAM;W;L;PF;PA;Pct.;
WARRIORS Bologna;5;1;178;50;833;
PANTHERS Parma;5;1;129;93;833;
GREEN HOGS Reggio Emilia;2;4;128;167;333;
DOVES Bologna;0;6;84;209;0;
