TEAM;W;L;PF;PA;Pct.;
GREEN HOGS Reggio Emilia;6;0;288;70;1000;
PANTHERS Parma;4;2;199;121;666;
RED JACKETS Sarzana;2;4;122;211;333;
Toscana Team GETS;0;6;34;241;0;
