GIORNATA;CASA;TRASFERTA;RISULTATO;
10/04/2005 h.14:00;HOGS;DOLPHINS;0-27;
16/04/2005 h.18:00;WARRIORS;HOGS;56-13;
24/04/2005 h.16:30;MARINES;HOGS;46-7;
08/05/2005 h.14:30;HOGS;GIAGUARI;26-6;
15/05/2005 h.14:30;HOGS;PANTHERS;21-28;
21/05/2005 h.20:30;GIANTS;HOGS;35-0;
05/06/2005 h.16:30;GLADIATORI;HOGS;10-0;
11/06/2005 h.20:30;HOGS;LIONS;0-36;
