TEAM;W;L;PF;PA;Pct.;
HOGS Reggio Emilia;8;0;372;172;1000;
DAEMONS Martesana;5;3;135;143;625;
BENGALS Brescia;4;4;190;198;500;
BLACKS Rivoli;2;6;142;228;250;
RED JACKETS Sarzana;1;7;137;235;125;
