TEAM;W;L;PF;PA;Pct.;
GUELFI Firenze;6;0;240;30;1000;
DOLPHINS Ancona;5;1;196;80;833;
AQUILE Ferrara;2;4;122;144;333;
WHITE TIGER;1;5;126;254;166;
RED HOGS Reggio Emilia;1;5;105;278;166;
