GIORNATA;CASA;TRASFERTA;RISULTATO;
9/10/2005 h. 14:30;GREEN HOGS;BOBCATS;42-8;
22/10/2005 h. 18:00;GREEN HOGS;BLACKS;34-8;
6/11/2005 h. 14:00;BOBCATS;GREEN HOGS;0-20;
12/11/2005 h. 14:45;CENTURIONS;GREEN HOGS;0-38;
QUARTI DI FINALE;;;;
4/12/2005 h. 14:30;GREEN HOGS;MARINES;54-26;
SEMIFINALI;;;;
11/12/2005 h. 14:30;GREEN HOGS;SKORPIONS;16-33;
