TEAM;W;L;PF;PA;Pct.;
HOGS Reggio Emilia;7;1;201;95;875;
ANGELS Pesaro;5;3;184;140;625;
TITANS Romagna;3;5;133;163;375;
NEPTUNES Bologna;0;8;55;194;0;
