GIORNATA;CASA;TRASFERTA;RISULTATO;
25/02/2023 h.20:30;ROOSTERS;HOGS;32-14;
05/03/2023 h.14:00;AQUILE;HOGS;35-0;
19/03/2023 h.14:00;HOGS;GRIZZLIES;18-15;
02/04/2023 h.15:00;HOGS;TRAPPERS;0-26;
23/04/2023 h.16:00;TRAPPERS;HOGS;42-7;
29/04/2023 h.20:00;HOGS;ROOSTERS;0-32;
21/05/2023 h.16:00;HOGS;AQUILE;0-38;
04/06/2023 h.14:00;GRIZZLIES;HOGS;8-0;
