TEAM;W;L;PF;PA;Pct.;
DOLPHINS Ancona;5;3;163;117;625;
WARRIORS Bologna;5;3;170;135;625;
HOGS Reggio Emilia;3;5;85;165;375;
MARINES Lazione;2;6;132;215;250;
