9-10/10/2005<br/>h.14:30;<b>Red Hogs</b> Vs Bobcats;8-0;
22/20/2005<br/>h.20:00;<b>Red Hogs</b> Vs Blacks;26-34;
13/11/2005;Panthers Vs <b>Red Hogs</b>;6-14;
