TEAM;W;L;PF;PA;Pct.;
PANTHERS Parma;11;2;529;263;846;
ELEPHANTS Catania;10;3;527;427;769;
WARRIORS Bologna;10;3;479;425;769;
GIANTS Bolzano;9;4;386;260;692;
RHINOS Milano AFT;8;4;354;304;666;
DOLPHINS Ancona;7;5;511;436;583;
HOGS Reggio Emilia;4;6;307;333;400;
DAEMONS Martesana;4;7;211;322;363;
SEAMEN Milano;4;7;302;366;363;
LIONS Bergamo;2;8;274;328;200;
MARINES Lazio;1;10;251;388;90;
DOVES Bologna;11;0;180;539;1000;
