GIORNATA;CASA;TRASFERTA;RISULTATO;
08/10/2017 h. 14:00;PANTHERS;GREEN HOGS;7-16;
15/10/2017 h. 16:00;GREEN HOGS;RED JACKETS;58-12;
29/10/2017 h. 14:00;TOSCANA TEAM GETS;GREEN HOGS;6-42;
05/11/2017 h. 16:00;GREEN HOGS;PANTHERS;52-13;
19/11/2017 h. 14:30;RED JACKETS;GREEN HOGS;32-58;
26/11/2017 h. 16:00;GREEN HOGS;TOSCANA TEAM GETS;62-0;
QUARTI FINALE;;;;
10/12/2017  h. 14:30;GREEN HOGS;GRIZZLIES;18-20;
