TEAM;W;L;PF;PA;Pct.;
SEAMEN Milano;8;1;204;65;888;
PANTHERS Parma;6;2;222;118;750;
GREEN HOGS Reggio Emilia;2;4;136;121;333;
RHINOS Milano AFT;2;4;116;115;333;
FROGS Legnano;0;6;14;266;0;
