TEAM;W;L;PF;PA;Pct.;
GIANTS Bolzano;7;1;236;34;875;
GREEN HOGS Reggio Emilia;4;3;105;90;571;
REDSKINS Verona;2;4;89;104;333;
AQUILE Ferrara;0;6;22;256;0;
