GIORNATA;CASA;TRASFERTA;RISULTATO;
13/10/2018 h. 20:00;WARRIORS;GREEN HOGS;16-8;
20/10/2018 h. 21:00;DOLPHINS;GREEN HOGS;48-8;
28/10/2018 h. 14:30;GREEN HOGS;RED JACKETS;43-20;
11/11/2018 h. 14:30;GREEN HOGS;DOLPHINS;28-48;
25/11/2018 h. 14:30;GREEN HOGS;WARRIORS;37-26;
02/12/2018 h. 14:30;RED JACKETS;GREEN HOGS;28-38;
QUARTI FINALE;;;;
15/12/2018  h. 21:00;DOLPHINS;GREEN HOGS;42-0;
