GIORNATA;CASA;TRASFERTA;RISULTATO;
08/10/2016  h.17:00;WARRIORS;RED HOGS;20-14;
16/10/2016  h.12:30;RED HOGS;WARRIORS;6-26;
23/10/2016  h.14:00;GUELFI;RED HOGS;12-14;
30/10/2016  h.13:30;RED HOGS;LEGIO XIII;42-24;
06/11/2016  h.12:30;RED HOGS;GUELFI;14-20;
27/11/2016  h.13:30;LEGIO XIII;RED HOGS;0-44;
