GIORNATA;CASA;TRASFERTA;RISULTATO;
7/10/2012 h. 15:10;SEAMEN;GREEN HOGS;48-6;
14/10/2012 h. 12:00;PANTHERS;GREEN HOGS;14-12;
21/10/2012 h. 14:30;GREEN HOGS;FROGS;49-0;
11/11/2012 h. 14:00;GREEN HOGS;PANTHERS;21-24;
17/11/2012 h. 20:25;RHINOS;GREEN HOGS;14-34;
25/11/2012 h. 14:15;GREEN HOGS;SEAMEN;14-21;
