GIORNATA;CASA;TRASFERTA;RISULTATO;
18/03/2007 h.15:00;HOGS;GUELFI;38-12;
25/03/2007 h.15:30;BARBARI;HOGS;14-20;
01/04/2007 h.15:00;FALCONS;HOGS;0-40;
28/04/2007 h.19:00;HOGS;FALCONS;48-6;
06/05/2007 h.15:00;GUELFI;HOGS;0-30;
12/05/2007 h.19:00;HOGS;BARBARI;8-13;
QUARTI FINALE;;;;
02/06/2007 h.20:30;HOGS;BLUE STORMS;40-6;
SEMIFINALI;;;;
09/06/2007 h.20:30;HOGS;SKORPIONS;35-0;
SILVERBOWL;;;;
16/06/2007 h.21:00;HOGS;GUELFI;40-13;
