TEAM;W;L;PF;PA;Pct.;
WARRIORS Bologna;6;0;156;38;1000;
RED HOGS Reggio Emilia;3;3;134;102;500;
GUELFI Firenze;3;3;84;110;500;
LEGIO XIII Roma;0;6;58;180;0;
