GIORNATA;CASA;TRASFERTA;RISULTATO;
08/10/2016<br/> h. 21:00;WARRIORS;GREEN HOGS;50-0;
16/10/2016<br/> h. 16:30;GREEN HOGS;WARRIORS;6-13;
29/10/2016<br/> h. 19:30;GREEN HOGS;DOVES;70-34;
06/11/2016<br/> h. 16:30;GREEN HOGS;PANTHERS;0-20;
12/11/2016<br/> h. 17:00;DOVES;GREEN HOGS;20-30;
20/11/2016<br/> h. 13:30;PANTHERS;GREEN HOGS;30-22;
