TEAM;W;L;PF;PA;Pct.;
VIPERS Modena;5;1;136;86;833;
BENGALS Brescia;4;2;112;112;666;
HOGS Reggio Emilia;3;3;127;84;500;
AQUILE Ferrara;0;6;85;178;0;
