GIORNATA;CASA;TRASFERTA;RISULTATO;
19/03/2022 h.21:00;HOGS;GIAGUARI;0-28;
26/03/2022 h.20:30;HOGS;REAPERS;6-14;
23/04/2022 h.21:00;REAPERS;HOGS;16-7;
08/05/2022 h.15:15;GIAGUARI;HOGS;35-0;
14/05/2022 h.20:00;HOGS;AQUILE;12-0;
22/05/2022 h.15:00;AQUILE;HOGS;14-0;
