TEAM;W;L;PF;PA;Pct.;
HOGS Reggio Emilia;7;0;288;33;1000;
DRAGHI Udine;4;3;109;124;571;
BENGALS Brescia;4;3;119;148;571;
AQUILE Ferrara;0;7;34;209;0;
