GIORNATA;CASA;TRASFERTA;RISULTATO;
06/10/2012 <br/> h.21:00;WARRIORS;RED HOGS;8-6;
14/10/2012 <br/> h.15:00;PANTHERS;RED HOGS;12-6;
21/10/2012 <br/> h.17:10;RED HOGS;WARRIORS;35-20;
28/10/2012 <br/> h.14:30;DOVES;RED HOGS;12-13;
11/11/2012 <br/> h.16:30;RED HOGS;PANTHERS;9-0;
25/11/2012 <br/> h.17:35;RED HOGS;DOVES;45-0;
QUARTI FINALE;;;;
09/12/2012 <br/> h.14:00;MARINES;RED HOGS;58-24;
