TEAM;W;L;PF;PA;Pct.;
LIONS Bergamo;8;0;293;62;1000;
WARRIORS Bologna;6;2;279;130;750;
GIANTS Bolzano;6;2;167;102;750;
DOLPHINS Falconara;5;3;205;119;625;
SS Lazio MARINES;5;3;187;135;625;
GLADIATORI Roma;3;5;83;149;375;
PANTHERS Parma;2;6;134;179;250;
HOGS Reggio Emilia;1;7;67;244;125;
GIAGUARI Torino;0;8;8;303;0;
